condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,lam
C6,centrality,impact_weighted,0,False,160,20,58,True,7,66,0.10606060606060606,,,0.0
C6,centrality,impact_weighted,1,False,151,21,20,True,11,61,0.18032786885245902,,,0.0
C6,centrality,impact_weighted,2,False,154,13,23,True,13,59,0.22033898305084745,,,0.0
C6,centrality,impact_weighted,3,False,281,38,22,True,8,56,0.14285714285714285,,,0.0
C6,centrality,impact_weighted,4,False,151,15,37,True,6,60,0.1,,,0.0
C6,centrality,impact_weighted,5,False,188,26,21,True,3,59,0.05084745762711865,,,0.0
C6,centrality,impact_weighted,6,False,113,21,20,True,9,53,0.16981132075471697,,,0.0
C6,centrality,impact_weighted,7,False,154,19,19,True,8,66,0.12121212121212122,,,0.0
C6,centrality,impact_weighted,8,False,247,21,20,True,10,66,0.15151515151515152,,,0.0
C6,centrality,impact_weighted,9,False,186,19,21,True,8,53,0.1509433962264151,,,0.0
C6,centrality,impact_weighted,10,False,197,21,60,False,12,65,0.18461538461538463,,,0.0
C6,centrality,impact_weighted,11,False,121,12,21,True,9,65,0.13846153846153847,,,0.0
C6,centrality,impact_weighted,12,False,174,24,21,True,6,55,0.10909090909090909,,,0.0
C6,centrality,impact_weighted,13,False,237,16,27,True,6,53,0.11320754716981132,,,0.0
C6,centrality,impact_weighted,14,False,144,19,21,True,10,60,0.16666666666666666,,,0.0
C6,centrality,impact_weighted,15,False,177,24,21,True,6,67,0.08955223880597014,,,0.0
C6,centrality,impact_weighted,16,False,200,19,27,True,5,55,0.09090909090909091,,,0.0
C6,centrality,impact_weighted,17,False,138,14,21,True,8,65,0.12307692307692308,,,0.0
C6,centrality,impact_weighted,18,False,135,16,52,True,10,64,0.15625,,,0.0
C6,centrality,impact_weighted,19,False,130,19,20,True,9,53,0.16981132075471697,,,0.0
C6,centrality,impact_weighted,20,False,183,17,25,True,11,63,0.1746031746031746,,,0.0
C6,centrality,impact_weighted,21,False,194,25,44,True,9,58,0.15517241379310345,,,0.0
C6,centrality,impact_weighted,22,False,165,17,22,True,10,56,0.17857142857142858,,,0.0
C6,centrality,impact_weighted,23,False,106,8,20,True,6,54,0.1111111111111111,,,0.0
C6,centrality,impact_weighted,24,False,261,35,41,True,9,58,0.15517241379310345,,,0.0
C6,centrality,impact_weighted,25,False,164,15,47,True,9,56,0.16071428571428573,,,0.0
C6,centrality,impact_weighted,26,False,249,44,20,True,5,64,0.078125,,,0.0
C6,centrality,impact_weighted,27,False,157,15,22,True,4,50,0.08,,,0.0
C6,centrality,impact_weighted,28,False,177,22,20,True,13,58,0.22413793103448276,,,0.0
C6,centrality,impact_weighted,29,False,168,18,21,True,6,61,0.09836065573770492,,,0.0
C6,centrality,impact_weighted,0,False,160,20,58,True,2,61,0.03278688524590164,,,0.5
C6,centrality,impact_weighted,1,False,151,21,20,True,5,55,0.09090909090909091,,,0.5
C6,centrality,impact_weighted,2,False,157,13,26,True,4,50,0.08,,,0.5
C6,centrality,impact_weighted,3,False,281,38,22,True,6,54,0.1111111111111111,,,0.5
C6,centrality,impact_weighted,4,False,151,15,37,True,4,58,0.06896551724137931,,,0.5
C6,centrality,impact_weighted,5,False,188,26,21,True,2,58,0.034482758620689655,,,0.5
C6,centrality,impact_weighted,6,False,107,11,20,True,6,51,0.11764705882352941,,,0.5
C6,centrality,impact_weighted,7,False,155,19,50,True,3,61,0.04918032786885246,,,0.5
C6,centrality,impact_weighted,8,False,247,21,20,True,3,60,0.05,,,0.5
C6,centrality,impact_weighted,9,False,186,19,21,True,6,51,0.11764705882352941,,,0.5
C6,centrality,impact_weighted,10,False,192,21,58,True,13,65,0.2,,,0.5
C6,centrality,impact_weighted,11,False,123,12,21,True,7,63,0.1111111111111111,,,0.5
C6,centrality,impact_weighted,12,False,174,24,21,True,6,55,0.10909090909090909,,,0.5
