condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered
C1,random,random,0,False,442,36,58,True,0,45,0.0,,
C1,random,random,1,False,323,32,48,True,1,39,0.02564102564102564,,
C1,random,random,2,False,531,50,27,True,0,39,0.0,,
C1,random,random,3,False,368,39,21,True,1,36,0.027777777777777776,,
C1,random,random,4,False,424,32,27,True,0,44,0.0,,
C1,random,random,5,False,427,34,28,True,0,35,0.0,,
C1,random,random,6,False,534,48,24,True,1,40,0.025,,
C1,random,random,7,False,408,52,23,True,0,41,0.0,,
C1,random,random,8,False,536,63,57,True,1,42,0.023809523809523808,,
C1,random,random,9,False,271,22,21,True,0,34,0.0,,
C1,random,random,10,False,553,34,58,True,0,43,0.0,,
C1,random,random,11,False,327,30,23,True,0,34,0.0,,
C1,random,random,12,False,509,56,24,True,2,41,0.04878048780487805,,
C1,random,random,13,False,372,36,42,True,1,33,0.030303030303030304,,
C1,random,random,14,False,772,79,38,True,0,39,0.0,,
C1,random,random,15,False,645,57,24,True,1,47,0.02127659574468085,,
C1,random,random,16,False,472,56,27,True,1,35,0.02857142857142857,,
C1,random,random,17,False,428,48,39,True,0,40,0.0,,
C1,random,random,18,False,373,46,52,True,1,37,0.02702702702702703,,
C1,random,random,19,False,376,28,31,True,0,31,0.0,,
C1,random,random,20,False,549,47,23,True,0,36,0.0,,
C1,random,random,21,False,681,53,45,True,0,29,0.0,,
C1,random,random,22,False,446,47,23,True,0,29,0.0,,
C1,random,random,23,False,320,42,21,True,0,39,0.0,,
C1,random,random,24,False,350,32,41,True,1,41,0.024390243902439025,,
C1,random,random,25,False,448,64,47,True,0,31,0.0,,
C1,random,random,26,False,493,44,25,True,1,41,0.024390243902439025,,
C1,random,random,27,False,465,43,23,True,0,33,0.0,,
C1,random,random,28,False,564,60,33,True,0,38,0.0,,
C1,random,random,29,False,582,55,23,True,1,43,0.023255813953488372,,
C2,random,fifo,0,False,702,54,50,True,0,53,0.0,,
C2,random,fifo,1,False,418,34,29,True,0,36,0.0,,
C2,random,fifo,2,False,448,31,34,True,1,44,0.022727272727272728,,
C2,random,fifo,3,False,531,40,56,True,0,42,0.0,,
C2,random,fifo,4,False,414,40,36,True,0,52,0.0,,
C2,random,fifo,5,False,372,28,25,True,0,37,0.0,,
C2,random,fifo,6,False,426,34,25,True,0,44,0.0,,
C2,random,fifo,7,False,501,48,60,False,0,51,0.0,,
C2,random,fifo,8,False,554,44,27,True,0,44,0.0,,
C2,random,fifo,9,False,367,44,21,True,0,34,0.0,,
C2,random,fifo,10,False,472,46,58,True,0,44,0.0,,
C2,random,fifo,11,False,533,57,23,True,1,40,0.025,,
