condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,value
C1,random,random,0,False,480,41,60,False,0,24,0.0,,,1
C1,random,random,1,False,489,47,48,True,0,21,0.0,,,1
C1,random,random,2,False,567,43,36,True,1,22,0.045454545454545456,,,1
C1,random,random,3,False,594,57,57,True,0,19,0.0,,,1
C1,random,random,4,False,501,36,27,True,0,24,0.0,,,1
C1,random,random,5,False,406,35,24,True,0,16,0.0,,,1
C1,random,random,6,False,598,45,43,True,0,14,0.0,,,1
C1,random,random,7,False,553,42,59,True,0,27,0.0,,,1
C1,random,random,8,False,619,46,42,True,1,19,0.05263157894736842,,,1
C1,random,random,9,False,392,32,23,True,1,13,0.07692307692307693,,,1
C1,random,random,10,False,567,42,58,True,0,18,0.0,,,1
C1,random,random,11,False,473,34,55,True,0,16,0.0,,,1
C1,random,random,12,False,637,51,29,True,0,20,0.0,,,1
C1,random,random,13,False,343,49,55,True,0,27,0.0,,,1
C1,random,random,14,False,544,44,27,True,0,19,0.0,,,1
C1,random,random,15,False,801,70,60,False,0,23,0.0,,,1
C1,random,random,16,False,715,71,27,True,0,15,0.0,,,1
C1,random,random,17,False,355,24,22,True,0,21,0.0,,,1
C1,random,random,18,False,752,59,32,True,0,19,0.0,,,1
C1,random,random,19,False,269,25,25,True,1,18,0.05555555555555555,,,1
C1,random,random,20,False,496,51,54,True,0,19,0.0,,,1
C1,random,random,21,False,491,44,44,True,0,16,0.0,,,1
C1,random,random,22,False,317,41,33,True,0,17,0.0,,,1
C1,random,random,23,False,253,20,26,True,0,17,0.0,,,1
C1,random,random,24,False,411,35,27,True,0,22,0.0,,,1
C1,random,random,25,False,757,56,31,True,0,18,0.0,,,1
C1,random,random,26,False,529,53,23,True,0,21,0.0,,,1
C1,random,random,27,False,472,42,39,True,0,17,0.0,,,1
C1,random,random,28,False,799,73,26,True,0,16,0.0,,,1
C1,random,random,29,False,767,74,24,True,0,16,0.0,,,1
C2,random,fifo,0,False,587,59,58,True,0,32,0.0,,,1
C2,random,fifo,1,False,282,23,21,True,0,25,0.0,,,1
C2,random,fifo,2,False,608,56,31,True,1,26,0.038461538461538464,,,1
C2,random,fifo,3,False,474,38,53,True,0,23,0.0,,,1
C2,random,fifo,4,False,580,44,31,True,0,31,0.0,,,1
C2,random,fifo,5,False,387,31,25,True,0,24,0.0,,,1
C2,random,fifo,6,False,595,48,33,True,0,19,0.0,,,1
C2,random,fifo,7,False,605,54,58,True,0,29,0.0,,,1
C2,random,fifo,8,False,598,46,29,True,0,27,0.0,,,1
C2,random,fifo,9,False,385,40,25,True,0,22,0.0,,,1
C2,random,fifo,10,False,794,63,58,True,0,25,0.0,,,1
C2,random,fifo,11,False,318,32,39,True,0,25,0.0,,,1
C2,random,fifo,12,False,638,49,28,True,0,23,0.0,,,1
C2,random,fifo,13,False,394,48,25,True,1,22,0.045454545454545456,,,1
C2,random,fifo,14,False,541,48,33,True,0,22,0.0,,,1
C2,random,fifo,15,False,648,83,34,True,0,27,0.0,,,1
C2,random,fifo,16,False,581,70,27,True,0,20,0.0,,,1
C2,random,fifo,17,False,439,40,23,True,0,30,0.0,,,1
C2,random,fifo,18,False,662,52,60,False,0,27,0.0,,,1
