value,spreader,fifo_minus_impact,fifo_ci_low,random_minus_impact,random_ci_low,h2_supported,param
1.0,centrality,691.93,623.12,603.13,526.67,True,moderator.budget_per_round
1.0,random,273.8,226.63,280.5,228.59,True,moderator.budget_per_round
2.0,centrality,766.77,708.23,630.93,578.27,True,moderator.budget_per_round
2.0,random,253.67,203.26,213.33,164.13,True,moderator.budget_per_round
3.0,centrality,417.03,356.53,381.07,324.7,True,moderator.budget_per_round
3.0,random,110.53,75.47,96.8,60.47,True,moderator.budget_per_round
5.0,centrality,2.27,-15.03,9.2,-19.8,False,moderator.budget_per_round
5.0,random,4.43,-13.9,-11.83,-26.6,False,moderator.budget_per_round
8.0,centrality,4.1,-9.27,2.9,-11.3,False,moderator.budget_per_round
8.0,random,2.47,-16.2,-9.4,-23.07,False,moderator.budget_per_round
0.3,centrality,683.4,589.1,506.7,432.3,True,moderator.kb_coverage
0.3,random,174.4,127.43,186.57,133.8,True,moderator.kb_coverage
0.5,centrality,729.97,658.33,583.7,513.3,True,moderator.kb_coverage
0.5,random,190.77,147.8,175.5,129.1,True,moderator.kb_coverage
0.7,centrality,766.77,708.73,630.93,579.83,True,moderator.kb_coverage
0.7,random,253.67,203.43,213.33,165.27,True,moderator.kb_coverage
0.9,centrality,870.4,795.77,695.87,633.6,True,moderator.kb_coverage
0.9,random,281.8,224.76,312.9,269.93,True,moderator.kb_coverage
0.0,centrality,726.03,664.53,584.43,528.0,True,spreader.max_sockpuppets
0.0,random,253.5,209.93,211.47,178.66,True,spreader.max_sockpuppets
2.0,centrality,720.73,645.4,629.47,574.5,True,spreader.max_sockpuppets
2.0,random,268.7,211.23,183.2,146.76,True,spreader.max_sockpuppets
5.0,centrality,785.4,701.16,601.93,544.23,True,spreader.max_sockpuppets
5.0,random,239.17,187.73,234.9,197.63,True,spreader.max_sockpuppets
10.0,centrality,766.77,707.87,630.93,579.8,True,spreader.max_sockpuppets
10.0,random,253.67,202.17,213.33,165.03,True,spreader.max_sockpuppets
20.0,centrality,767.73,718.83,634.07,575.7,True,spreader.max_sockpuppets
20.0,random,247.73,206.37,227.2,187.13,True,spreader.max_sockpuppets
