condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,value
C1,random,random,0,False,488,46,23,True,1,21,0.047619047619047616,,,0.3
C1,random,random,1,False,563,38,49,True,0,22,0.0,,,0.3
C1,random,random,2,False,465,40,32,True,0,22,0.0,,,0.3
C1,random,random,3,False,442,42,57,True,2,20,0.1,,,0.3
C1,random,random,4,False,397,28,24,True,2,27,0.07407407407407407,,,0.3
C1,random,random,5,False,414,34,28,True,1,17,0.058823529411764705,,,0.3
C1,random,random,6,False,552,48,26,True,0,20,0.0,,,0.3
C1,random,random,7,False,494,35,34,True,4,29,0.13793103448275862,,,0.3
C1,random,random,8,False,637,56,28,True,1,25,0.04,,,0.3
C1,random,random,9,False,352,44,23,True,1,14,0.07142857142857142,,,0.3
C1,random,random,10,False,533,39,27,True,1,27,0.037037037037037035,,,0.3
C1,random,random,11,False,467,36,50,True,0,16,0.0,,,0.3
C1,random,random,12,False,489,35,25,True,0,20,0.0,,,0.3
C1,random,random,13,False,312,39,21,True,0,20,0.0,,,0.3
C1,random,random,14,False,728,50,30,True,2,19,0.10526315789473684,,,0.3
C1,random,random,15,False,605,56,27,True,1,25,0.04,,,0.3
C1,random,random,16,False,618,55,34,True,0,16,0.0,,,0.3
C1,random,random,17,False,411,39,23,True,0,16,0.0,,,0.3
C1,random,random,18,False,365,24,38,True,3,20,0.15,,,0.3
C1,random,random,19,False,518,35,40,True,1,27,0.037037037037037035,,,0.3
C1,random,random,20,False,394,45,60,False,1,13,0.07692307692307693,,,0.3
C1,random,random,21,False,529,37,30,True,0,18,0.0,,,0.3
C1,random,random,22,False,426,43,24,True,3,22,0.13636363636363635,,,0.3
C1,random,random,23,False,269,24,21,True,0,10,0.0,,,0.3
C1,random,random,24,False,539,54,43,True,2,21,0.09523809523809523,,,0.3
C1,random,random,25,False,285,22,28,True,0,16,0.0,,,0.3
C1,random,random,26,False,438,53,26,True,1,20,0.05,,,0.3
C1,random,random,27,False,560,57,25,True,0,10,0.0,,,0.3
C1,random,random,28,False,698,50,40,True,2,21,0.09523809523809523,,,0.3
C1,random,random,29,False,785,64,26,True,1,25,0.04,,,0.3
C2,random,fifo,0,False,609,75,24,True,0,21,0.0,,,0.3
C2,random,fifo,1,False,530,40,32,True,0,16,0.0,,,0.3
C2,random,fifo,2,False,544,49,24,True,0,23,0.0,,,0.3
C2,random,fifo,3,False,529,36,59,True,0,16,0.0,,,0.3
C2,random,fifo,4,False,420,33,37,True,1,22,0.045454545454545456,,,0.3
C2,random,fifo,5,False,543,42,27,True,0,11,0.0,,,0.3
C2,random,fifo,6,False,472,33,30,True,0,19,0.0,,,0.3
C2,random,fifo,7,False,413,38,28,True,2,16,0.125,,,0.3
C2,random,fifo,8,False,482,62,30,True,0,22,0.0,,,0.3
C2,random,fifo,9,False,337,43,25,True,0,9,0.0,,,0.3
C2,random,fifo,10,False,513,52,26,True,0,26,0.0,,,0.3
C2,random,fifo,11,False,417,42,23,True,0,17,0.0,,,0.3
C2,random,fifo,12,False,365,33,24,True,1,18,0.05555555555555555,,,0.3
