condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,value
C1,random,random,0,False,314,32,23,True,0,45,0.0,,,0
C1,random,random,1,False,374,34,49,True,1,42,0.023809523809523808,,,0
C1,random,random,2,False,431,45,43,True,0,33,0.0,,,0
C1,random,random,3,False,241,21,58,True,1,36,0.027777777777777776,,,0
C1,random,random,4,False,291,24,24,True,0,41,0.0,,,0
C1,random,random,5,False,313,31,26,True,0,36,0.0,,,0
C1,random,random,6,False,223,23,22,True,1,32,0.03125,,,0
C1,random,random,7,False,387,27,41,True,0,48,0.0,,,0
C1,random,random,8,False,403,37,31,True,0,49,0.0,,,0
C1,random,random,9,False,273,29,22,True,0,30,0.0,,,0
C1,random,random,10,False,483,41,27,True,1,43,0.023255813953488372,,,0
C1,random,random,11,False,269,22,23,True,0,43,0.0,,,0
C1,random,random,12,False,258,28,22,True,0,41,0.0,,,0
C1,random,random,13,False,318,38,41,True,0,33,0.0,,,0
C1,random,random,14,False,478,42,43,True,1,33,0.030303030303030304,,,0
C1,random,random,15,False,531,35,26,True,0,46,0.0,,,0
C1,random,random,16,False,431,47,48,True,1,34,0.029411764705882353,,,0
C1,random,random,17,False,222,20,21,True,1,46,0.021739130434782608,,,0
C1,random,random,18,False,540,32,52,True,1,37,0.02702702702702703,,,0
C1,random,random,19,False,147,14,21,True,0,31,0.0,,,0
C1,random,random,20,False,346,45,57,True,1,38,0.02631578947368421,,,0
C1,random,random,21,False,465,25,48,True,0,33,0.0,,,0
C1,random,random,22,False,240,29,23,True,1,37,0.02702702702702703,,,0
C1,random,random,23,False,257,32,23,True,0,30,0.0,,,0
C1,random,random,24,False,238,25,22,True,1,34,0.029411764705882353,,,0
C1,random,random,25,False,300,31,35,True,0,35,0.0,,,0
C1,random,random,26,False,394,38,26,True,0,42,0.0,,,0
C1,random,random,27,False,372,37,41,True,2,32,0.0625,,,0
C1,random,random,28,False,636,50,39,True,1,39,0.02564102564102564,,,0
C1,random,random,29,False,376,45,32,True,0,35,0.0,,,0
C2,random,fifo,0,False,601,49,28,True,0,57,0.0,,,0
C2,random,fifo,1,False,308,26,34,True,0,41,0.0,,,0
C2,random,fifo,2,False,269,27,30,True,0,32,0.0,,,0
C2,random,fifo,3,False,252,25,56,True,0,39,0.0,,,0
C2,random,fifo,4,False,268,20,32,True,0,46,0.0,,,0
C2,random,fifo,5,False,343,40,24,True,0,42,0.0,,,0
