condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,recovered_within_k
C1,random,random,0,True,1061,120,58,True,0,72,0.0,28,True,False
C1,random,random,1,True,1133,129,44,True,1,56,0.017857142857142856,14,True,True
C1,random,random,2,True,1230,109,47,True,0,54,0.0,17,True,False
C1,random,random,3,True,992,119,51,True,1,49,0.02040816326530612,21,True,False
C1,random,random,4,True,979,95,48,True,0,68,0.0,18,True,False
C1,random,random,5,True,982,96,41,True,0,51,0.0,11,True,True
C1,random,random,6,True,1339,109,46,True,0,61,0.0,16,True,False
C1,random,random,7,True,1412,138,60,False,0,68,0.0,30,False,False
C1,random,random,8,True,1235,120,57,True,0,62,0.0,27,True,False
C1,random,random,9,True,731,91,42,True,0,47,0.0,12,True,True
C1,random,random,10,True,1251,136,58,True,0,62,0.0,28,True,False
C1,random,random,11,True,1179,125,46,True,0,62,0.0,16,True,False
C1,random,random,12,True,1259,101,42,True,2,69,0.028985507246376812,12,True,True
C1,random,random,13,True,1360,161,50,True,0,58,0.0,20,True,False
C1,random,random,14,True,1501,111,43,True,2,63,0.031746031746031744,13,True,True
C1,random,random,15,True,1796,175,43,True,0,70,0.0,13,True,True
C1,random,random,16,True,1176,123,42,True,0,49,0.0,12,True,True
C1,random,random,17,True,989,93,45,True,0,66,0.0,15,True,True
C1,random,random,18,True,738,83,39,True,2,59,0.03389830508474576,9,True,True
C1,random,random,19,True,777,82,41,True,1,50,0.02,11,True,True
C1,random,random,20,True,1551,176,60,False,0,56,0.0,30,False,False
C1,random,random,21,True,1118,82,46,True,0,50,0.0,16,True,False
C1,random,random,22,True,1206,113,44,True,0,53,0.0,14,True,True
C1,random,random,23,True,991,107,42,True,0,62,0.0,12,True,True
C1,random,random,24,True,1163,101,50,True,1,58,0.017241379310344827,20,True,False
C1,random,random,25,True,1416,148,51,True,0,52,0.0,21,True,False
C1,random,random,26,True,1280,125,53,True,0,67,0.0,23,True,False
C1,random,random,27,True,1103,101,41,True,1,57,0.017543859649122806,11,True,True
C1,random,random,28,True,1290,121,46,True,1,52,0.019230769230769232,16,True,False
C1,random,random,29,True,1626,120,59,True,0,61,0.0,29,True,False
C2,random,fifo,0,True,1394,137,46,True,0,60,0.0,16,True,False
C2,random,fifo,1,True,1224,141,42,True,0,46,0.0,12,True,True
C2,random,fifo,2,True,1000,119,41,True,1,60,0.016666666666666666,11,True,True
C2,random,fifo,3,True,1300,127,51,True,0,53,0.0,21,True,False
C2,random,fifo,4,True,840,109,42,True,0,73,0.0,12,True,True
C2,random,fifo,5,True,1167,113,53,True,0,50,0.0,23,True,False
C2,random,fifo,6,True,1294,135,48,True,0,53,0.0,18,True,False
C2,random,fifo,7,True,1236,103,56,True,0,72,0.0,26,True,False
C2,random,fifo,8,True,1189,123,46,True,0,57,0.0,16,True,False
C2,random,fifo,9,True,930,91,45,True,0,50,0.0,15,True,True
C2,random,fifo,10,True,1575,141,48,True,0,53,0.0,18,True,False
C2,random,fifo,11,True,1390,106,54,True,1,60,0.016666666666666666,24,True,False
C2,random,fifo,12,True,1316,118,44,True,0,60,0.0,14,True,True
C2,random,fifo,13,True,1242,127,60,False,1,59,0.01694915254237288,30,False,False
C2,random,fifo,14,True,1304,114,42,True,0,57,0.0,12,True,True
C2,random,fifo,15,True,1451,122,45,True,0,67,0.0,15,True,True
C2,random,fifo,16,True,1394,112,48,True,0,47,0.0,18,True,False
C2,random,fifo,17,True,1280,118,47,True,0,65,0.0,17,True,False
C2,random,fifo,18,True,1273,114,60,False,0,56,0.0,30,False,False
C2,random,fifo,19,True,1104,89,45,True,0,48,0.0,15,True,True
C2,random,fifo,20,True,2145,148,54,True,0,49,0.0,24,True,False
C2,random,fifo,21,True,1522,113,54,True,0,46,0.0,24,True,False
C2,random,fifo,22,True,1585,166,49,True,0,41,0.0,19,True,False
C2,random,fifo,23,True,986,120,43,True,0,61,0.0,13,True,True
C2,random,fifo,24,True,1124,103,48,True,0,61,0.0,18,True,False
C2,random,fifo,25,True,1524,142,47,True,0,56,0.0,17,True,False
C2,random,fifo,26,True,1373,104,46,True,0,58,0.0,16,True,False
C2,random,fifo,27,True,1146,128,44,True,0,57,0.0,14,True,True
C2,random,fifo,28,True,1654,124,51,True,1,55,0.01818181818181818,21,True,False
C2,random,fifo,29,True,1662,125,43,True,0,57,0.0,13,True,True
C3,random,impact_weighted,0,True,481,82,58,True,1,80,0.0125,28,True,False
C3,random,impact_weighted,1,True,688,108,48,True,0,62,0.0,18,True,False
C3,random,impact_weighted,2,True,550,78,43,True,0,66,0.0,13,True,True
C3,random,impact_weighted,3,True,664,94,51,True,0,72,0.0,21,True,False
C3,random,impact_weighted,4,True,351,83,35,True,1,76,0.013157894736842105,5,True,True
C3,random,impact_weighted,5,True,820,111,39,True,0,69,0.0,9,True,True
C3,random,impact_weighted,6,True,441,83,36,True,2,74,0.02702702702702703,6,True,True
C3,random,impact_weighted,7,True,569,105,37,True,1,80,0.0125,7,True,True
C3,random,impact_weighted,8,True,615,113,41,True,0,71,0.0,11,True,True
C3,random,impact_weighted,9,True,522,84,37,True,1,58,0.017241379310344827,7,True,True
C3,random,impact_weighted,10,True,660,75,58,True,1,74,0.013513513513513514,28,True,False
C3,random,impact_weighted,11,True,617,101,37,True,1,70,0.014285714285714285,7,True,True
C3,random,impact_weighted,12,True,659,86,37,True,1,79,0.012658227848101266,7,True,True
C3,random,impact_weighted,13,True,719,113,41,True,0,69,0.0,11,True,True
C3,random,impact_weighted,14,True,514,92,38,True,2,69,0.028985507246376812,8,True,True
C3,random,impact_weighted,15,True,612,77,38,True,1,82,0.012195121951219513,8,True,True
C3,random,impact_weighted,16,True,639,79,38,True,0,71,0.0,8,True,True
C3,random,impact_weighted,17,True,550,87,38,True,1,77,0.012987012987012988,8,True,True
C3,random,impact_weighted,18,True,696,112,52,True,2,80,0.025,22,True,False
C3,random,impact_weighted,19,True,517,97,37,True,1,72,0.013888888888888888,7,True,True
C3,random,impact_weighted,20,True,580,107,37,True,1,69,0.014492753623188406,7,True,True
C3,random,impact_weighted,21,True,646,111,40,True,0,78,0.0,10,True,True
C3,random,impact_weighted,22,True,531,78,37,True,1,67,0.014925373134328358,7,True,True
C3,random,impact_weighted,23,True,587,96,38,True,1,70,0.014285714285714285,8,True,True
C3,random,impact_weighted,24,True,564,88,41,True,2,77,0.025974025974025976,11,True,True
C3,random,impact_weighted,25,True,628,90,36,True,0,64,0.0,6,True,True
C3,random,impact_weighted,26,True,518,83,41,True,2,77,0.025974025974025976,11,True,True
C3,random,impact_weighted,27,True,520,89,37,True,0,66,0.0,7,True,True
C3,random,impact_weighted,28,True,871,92,41,True,0,72,0.0,11,True,True
C3,random,impact_weighted,29,True,859,146,37,True,0,74,0.0,7,True,True
C4,centrality,random,0,True,3369,359,58,True,0,74,0.0,28,True,False
C4,centrality,random,1,True,3753,367,49,True,0,60,0.0,19,True,False
C4,centrality,random,2,True,3055,296,44,True,1,60,0.016666666666666666,14,True,True
C4,centrality,random,3,True,3279,340,51,True,1,64,0.015625,21,True,False
C4,centrality,random,4,True,3388,329,48,True,0,69,0.0,18,True,False
C4,centrality,random,5,True,2340,316,45,True,0,59,0.0,15,True,True
C4,centrality,random,6,True,3255,318,52,True,1,66,0.015151515151515152,22,True,False
C4,centrality,random,7,True,3299,328,52,True,0,81,0.0,22,True,False
C4,centrality,random,8,True,3165,336,49,True,0,64,0.0,19,True,False
C4,centrality,random,9,True,2373,271,51,True,0,53,0.0,21,True,False
C4,centrality,random,10,True,2895,286,59,True,0,67,0.0,29,True,False
C4,centrality,random,11,True,3016,340,45,True,0,66,0.0,15,True,True
C4,centrality,random,12,True,3363,313,47,True,0,71,0.0,17,True,False
C4,centrality,random,13,True,3098,348,43,True,0,66,0.0,13,True,True
C4,centrality,random,14,True,4066,375,45,True,0,68,0.0,15,True,True
C4,centrality,random,15,True,3800,415,48,True,0,76,0.0,18,True,False
C4,centrality,random,16,True,3830,393,48,True,0,61,0.0,18,True,False
C4,centrality,random,17,True,2854,288,48,True,0,72,0.0,18,True,False
C4,centrality,random,18,True,3162,318,49,True,1,63,0.015873015873015872,19,True,False
